gender,degree,stream,ssc_p,hsc_p,cgpa,workex,coding_skills,communication_skills,analytical_skills,domain_knowledge,projects,internships,certifications,placed_status,placed_sector,placed_role,salary_lpa
F,MBA,Marketing,86.77,66.88,5.93,Yes,1.0,9.0,6.2,9.0,1,0,0,Placed,Finance,Tax Consultant,7.09
M,B.Sc,Physics,55.39,82.52,7.49,Yes,4.0,5.6,7.2,8.7,1,0,2,Not Placed,Not Placed,None,
F,B.Tech,Computer Science,81.91,81.36,7.13,No,9.8,5.1,8.0,7.6,4,0,1,Placed,Tech,QA Engineer,14.84
M,B.Sc,Physics,76.75,71.03,8.29,No,1.7,8.7,9.1,7.5,0,0,0,Placed,Consulting,Business Analyst,11.8
M,BCA,Computer Applications,52.84,65.49,7.77,Yes,7.6,8.0,7.4,4.1,3,0,0,Placed,Consulting,Business Analyst,11.19
M,B.Com,Accounting & Finance,97.11,60.27,9.11,Yes,2.5,8.4,8.0,8.4,0,0,0,Not Placed,Not Placed,None,
M,B.Tech,Computer Science,69.36,69.62,6.78,No,7.1,5.1,6.3,4.9,4,2,2,Placed,Tech,Web Developer,12.47
M,B.Com,General Commerce,61.23,75.7,8.35,Yes,5.1,4.2,6.4,7.8,2,1,0,Placed,Finance,Financial Analyst,7.36
M,BCA,Computer Applications,55.93,66.76,7.69,No,7.9,6.7,7.3,5.5,2,2,1,Not Placed,Not Placed,None,
M,MBA,Operations,67.8,48.02,5.54,No,1.2,7.0,7.1,9.3,1,0,1,Not Placed,Not Placed,None,
M,B.Tech,Computer Science,68.73,82.69,6.4,No,6.8,7.0,9.6,8.1,2,2,1,Not Placed,Not Placed,None,
M,B.Sc,Physics,71.03,71.9,7.32,No,3.9,8.7,5.8,7.2,2,0,2,Placed,Consulting,Business Analyst,8.53
F,MBA,Marketing,67.02,66.2,8.83,No,3.4,3.9,7.1,6.5,0,0,0,Placed,Finance,Risk Associate,6.69
M,B.Tech,Electronics,76.33,78.57,8.06,No,8.9,7.8,10.0,4.1,2,1,1,Placed,Tech,Web Developer,15.41
F,MBA,Human Resources,66.12,85.25,6.1,No,4.2,4.9,5.6,6.6,1,0,2,Not Placed,Not Placed,None,
F,B.Com,General Commerce,50.65,45.0,7.33,No,3.4,7.8,6.7,5.0,1,0,0,Placed,Consulting,Business Analyst,8.5
M,B.Tech,Computer Science,68.51,74.34,9.92,No,6.8,5.8,5.1,8.8,2,1,1,Not Placed,Not Placed,None,
M,B.Tech,Computer Science,46.33,55.73,7.63,No,8.4,5.3,6.6,4.2,3,2,1,Placed,Tech,Software Engineer,15.16
M,B.Com,Accounting & Finance,73.54,74.99,7.11,No,4.5,5.6,8.6,8.3,0,2,2,Placed,Finance,Financial Analyst,10.91
F,B.Tech,Mechanical,60.21,71.28,8.09,No,1.2,4.3,8.1,8.7,1,0,2,Placed,Core Engineering,Graduate Engineer Trainee,6.44
F,B.Sc,Mathematics,71.63,76.36,8.42,No,4.9,6.6,6.7,6.2,0,0,1,Placed,Consulting,Strategy Consultant,7.28
F,B.Tech,Electronics,83.14,65.01,6.95,No,6.6,5.3,5.1,5.1,1,0,1,Placed,Tech,Software Engineer,9.84
F,B.Sc,Computer Science,60.51,51.27,8.1,No,8.2,7.7,7.8,4.2,2,1,0,Not Placed,Not Placed,None,
F,B.Tech,Computer Science,80.61,65.5,7.11,Yes,7.1,7.5,6.8,5.1,2,1,0,Placed,Consulting,Business Analyst,10.03
M,BBA,Marketing,65.67,74.07,8.36,No,2.0,9.0,7.9,8.4,1,1,2,Placed,Consulting,Business Analyst,10.96
M,MBA,Business Analytics,87.53,80.15,7.7,No,4.3,7.0,6.0,4.6,1,1,2,Placed,Consulting,Operations Analyst,7.03
F,MBA,Human Resources,66.35,58.28,8.08,No,6.1,7.3,7.1,6.6,1,1,1,Placed,Consulting,Operations Analyst,8.33
M,B.Com,General Commerce,61.6,80.27,6.59,No,1.9,8.6,7.7,6.4,1,0,0,Not Placed,Not Placed,None,
M,B.Tech,Computer Science,76.87,63.52,6.51,No,6.5,5.6,5.9,6.9,2,0,1,Placed,Tech,Software Engineer,9.25
F,B.Com,General Commerce,65.64,73.62,8.63,No,2.2,4.3,4.6,5.7,0,1,0,Placed,Consulting,Business Analyst,4.0
M,B.Tech,Electronics,61.59,64.9,7.4,No,4.3,6.8,6.4,6.5,2,0,1,Not Placed,Not Placed,None,
F,B.Tech,Computer Science,65.22,71.82,7.84,Yes,7.0,4.4,8.3,4.1,3,0,2,Placed,Tech,Software Engineer,11.28
F,B.Tech,Mechanical,69.55,78.92,7.13,No,3.2,10.0,8.2,6.3,0,1,2,Placed,Consulting,Business Analyst,12.19
M,BCA,Computer Applications,83.42,57.73,8.58,No,4.7,8.7,5.9,6.4,2,0,3,Placed,Consulting,Business Analyst,8.54
F,B.Com,General Commerce,50.66,63.2,6.77,No,1.2,9.7,4.6,6.9,1,0,0,Not Placed,Not Placed,None,
M,B.Com,General Commerce,70.23,71.85,7.34,No,5.8,6.6,5.9,8.0,1,1,0,Placed,Finance,Risk Associate,5.22
M,MCA,Computer Applications,76.25,94.02,8.44,Yes,4.9,7.3,5.8,6.6,4,0,0,Placed,Consulting,Strategy Consultant,8.92
M,B.Tech,Computer Science,71.93,61.37,8.91,Yes,7.1,5.8,7.2,7.3,4,2,2,Placed,Tech,Software Engineer,14.49
M,MBA,Business Analytics,83.1,90.4,6.87,No,3.2,7.8,7.4,6.3,1,1,0,Placed,Consulting,Strategy Consultant,9.27
M,MCA,Computer Applications,69.26,90.04,9.85,No,5.8,4.7,5.4,6.7,1,1,2,Placed,Tech,Web Developer,12.56
M,BCA,Computer Applications,68.15,69.03,7.88,No,6.9,2.7,8.2,8.8,3,0,0,Placed,Tech,Web Developer,11.19
M,B.Tech,Electronics,75.92,67.02,6.25,No,8.2,5.3,6.7,7.0,2,0,0,Placed,Core Engineering,Site Engineer,5.63
M,B.Com,General Commerce,70.99,63.08,7.94,No,3.9,4.3,7.2,7.0,2,0,0,Placed,Finance,Financial Analyst,6.78
F,B.Com,General Commerce,66.1,69.32,7.04,Yes,2.3,8.7,3.9,5.8,0,0,1,Not Placed,Not Placed,None,
F,B.Tech,Computer Science,75.16,55.93,8.02,No,5.5,9.2,2.9,4.7,3,1,1,Placed,Consulting,Operations Analyst,8.22
M,B.Tech,Computer Science,63.47,69.24,7.45,No,8.3,4.4,4.3,7.0,1,2,1,Placed,Tech,Data Analyst,14.87
M,B.Com,Accounting & Finance,63.89,84.97,7.59,No,3.9,8.4,9.4,5.5,1,1,1,Placed,Consulting,Strategy Consultant,11.84
M,B.Com,Accounting & Finance,64.72,63.89,6.41,No,2.8,7.9,5.6,6.4,1,0,0,Not Placed,Not Placed,None,
M,B.Tech,Computer Science,83.53,67.59,8.69,No,8.5,4.1,3.0,6.7,1,1,2,Placed,Tech,Data Analyst,15.51
F,MBA,Finance,45.0,52.99,6.11,No,1.1,5.9,9.4,9.0,0,1,2,Placed,Finance,Financial Analyst,11.86
F,B.Tech,Mechanical,73.96,73.74,6.17,No,5.7,5.6,6.8,7.3,2,0,0,Placed,Core Engineering,Graduate Engineer Trainee,5.85
M,MCA,Computer Applications,70.34,72.64,7.94,No,7.3,7.6,8.5,6.1,3,0,1,Placed,Consulting,Business Analyst,10.16
M,MBA,Marketing,53.19,70.64,9.42,No,2.8,4.7,5.2,6.5,0,1,1,Placed,Consulting,Business Analyst,4.17
M,MCA,Computer Applications,73.1,67.83,7.08,Yes,7.0,6.4,7.3,8.0,2,1,0,Not Placed,Not Placed,None,
F,B.Sc,Biotech,74.76,67.07,8.34,No,3.4,5.5,6.6,4.5,0,0,0,Placed,Consulting,Business Analyst,6.1
M,MCA,Computer Applications,75.9,75.02,8.79,No,6.3,7.2,7.7,7.1,3,1,1,Placed,Consulting,Operations Analyst,8.94
F,B.Tech,Computer Science,45.0,69.71,8.48,Yes,6.4,6.2,6.1,5.3,3,1,1,Placed,Tech,Cloud Associate,12.01
F,MBA,Marketing,83.66,73.15,7.13,Yes,1.5,5.7,7.2,7.8,1,0,2,Placed,Finance,Financial Analyst,10.75
M,MCA,Computer Applications,62.62,72.15,6.19,No,9.2,6.2,8.2,5.8,4,0,1,Placed,Tech,Software Engineer,13.0
M,BBA,Marketing,76.87,81.23,4.85,No,3.2,9.6,5.5,6.6,0,0,2,Placed,Consulting,Business Analyst,9.08
F,B.Tech,Civil,77.41,76.77,7.18,No,1.8,5.9,6.9,8.8,0,1,2,Placed,Core Engineering,Graduate Engineer Trainee,6.08
M,B.Tech,Information Technology,61.23,71.93,8.91,Yes,8.6,4.9,3.7,7.8,2,2,2,Placed,Tech,Web Developer,16.76
M,B.Tech,Information Technology,76.6,85.18,6.15,Yes,9.1,7.4,7.6,7.0,2,1,1,Placed,Tech,Software Engineer,13.86
M,B.Com,Accounting & Finance,66.15,74.2,8.34,No,3.8,6.3,7.0,8.1,2,0,1,Placed,Finance,Financial Analyst,7.85
F,MCA,Computer Applications,49.29,83.05,6.36,No,8.2,4.4,4.6,9.3,2,1,3,Placed,Tech,Data Analyst,12.6
F,BBA,Human Resources,81.68,76.07,7.63,Yes,1.9,9.8,6.4,5.8,0,0,2,Placed,Consulting,Business Analyst,12.01
F,BCA,Computer Applications,62.25,51.58,8.35,No,5.9,6.0,7.8,9.0,3,1,0,Placed,Consulting,Operations Analyst,7.79
F,MBA,Operations,61.46,83.05,6.71,Yes,4.0,5.9,6.5,5.9,0,1,1,Placed,Consulting,Operations Analyst,8.28
F,B.Tech,Information Technology,65.97,71.35,7.7,No,7.8,6.7,6.7,7.4,3,0,2,Not Placed,Not Placed,None,
F,BBA,General Management,72.72,69.48,7.0,Yes,1.1,9.1,5.9,8.2,0,0,0,Not Placed,Not Placed,None,
M,B.Com,General Commerce,69.43,72.81,8.35,Yes,3.6,4.0,5.9,5.9,1,0,1,Placed,Consulting,Business Analyst,6.66
M,B.Com,General Commerce,75.48,66.55,7.78,No,3.7,6.9,6.4,5.5,0,0,1,Placed,Consulting,Operations Analyst,7.28
F,BBA,Marketing,56.61,72.27,7.57,No,5.4,9.6,6.6,7.1,1,0,2,Placed,Consulting,Operations Analyst,10.19
F,B.Com,Accounting & Finance,62.58,64.08,9.37,No,3.1,6.7,8.0,4.0,1,1,2,Not Placed,Not Placed,None,
F,B.Sc,Computer Science,68.84,82.74,8.29,Yes,6.0,4.6,6.4,5.7,2,0,0,Not Placed,Not Placed,None,
M,B.Tech,Electronics,88.98,68.86,6.67,Yes,5.8,5.6,8.9,10.0,2,1,1,Placed,Core Engineering,Graduate Engineer Trainee,8.0
F,B.Tech,Information Technology,68.86,66.17,7.4,No,8.1,6.8,5.9,8.3,1,0,1,Placed,Tech,Software Engineer,12.51
F,MBA,Finance,80.85,60.75,7.41,No,2.9,8.5,7.9,6.8,1,0,0,Not Placed,Not Placed,None,
M,B.Sc,Biotech,70.39,72.69,7.6,No,4.7,6.0,6.3,6.0,0,1,1,Not Placed,Not Placed,None,
M,B.Com,General Commerce,65.16,71.87,10.0,No,1.3,7.7,5.4,5.4,0,1,1,Placed,Consulting,Business Analyst,7.17
M,BCA,Computer Applications,67.53,73.88,7.95,No,8.7,4.3,4.5,6.1,1,0,0,Placed,Tech,Software Engineer,13.99
M,B.Tech,Computer Science,68.32,59.73,5.06,Yes,7.7,4.3,6.7,8.1,1,1,1,Placed,Tech,Software Engineer,11.52
M,B.Tech,Electronics,76.04,53.99,6.85,No,4.8,5.8,5.4,5.0,1,2,1,Not Placed,Not Placed,None,
M,B.Com,Accounting & Finance,83.75,76.26,5.18,No,2.4,8.7,9.0,8.0,1,0,1,Not Placed,Not Placed,None,
M,MCA,Computer Applications,73.6,84.85,7.1,No,7.7,6.6,6.7,7.3,2,0,1,Placed,Tech,Data Analyst,11.59
F,B.Tech,Computer Science,81.87,59.74,5.12,No,10.0,6.9,4.2,7.0,1,0,1,Placed,Tech,Web Developer,14.0
F,BCA,Computer Applications,60.35,85.89,6.45,No,8.8,6.9,3.9,5.3,4,2,1,Placed,Tech,Software Engineer,14.73
F,B.Tech,Information Technology,65.85,72.84,5.68,Yes,7.8,8.2,7.5,4.9,2,0,0,Placed,Consulting,Business Analyst,11.47
M,B.Sc,Biotech,62.76,69.93,7.96,No,2.4,5.6,3.6,8.7,1,1,0,Not Placed,Not Placed,None,
M,B.Tech,Computer Science,73.14,66.02,7.5,Yes,7.6,7.5,5.0,7.0,4,1,3,Not Placed,Not Placed,None,
F,B.Com,General Commerce,66.41,56.15,7.86,No,1.5,5.3,3.8,6.8,1,0,2,Not Placed,Not Placed,None,
M,B.Tech,Information Technology,77.3,79.88,7.37,No,8.3,9.5,5.8,4.6,4,1,0,Placed,Consulting,Business Analyst,9.25
F,BCA,Computer Applications,60.69,62.24,5.83,No,6.3,5.3,7.1,6.0,2,0,0,Not Placed,Not Placed,None,
F,B.Tech,Information Technology,70.43,62.2,8.12,No,6.0,5.2,6.7,7.6,3,0,2,Placed,Tech,Software Engineer,10.17
M,B.Tech,Computer Science,76.87,79.92,9.81,No,6.5,7.3,10.0,7.4,1,0,0,Placed,Consulting,Operations Analyst,11.32
F,MCA,Computer Applications,49.35,51.17,7.99,Yes,6.8,6.6,8.1,8.2,3,2,1,Placed,Tech,Software Engineer,13.21
M,BCA,Computer Applications,91.22,54.76,6.99,No,6.0,7.0,5.1,4.3,1,0,2,Placed,Consulting,Business Analyst,6.09
M,B.Sc,Computer Science,67.17,69.82,5.79,Yes,7.5,6.8,4.7,6.8,0,0,0,Not Placed,Not Placed,None,
F,B.Tech,Computer Science,49.75,72.93,6.41,No,8.3,4.9,10.0,8.6,3,0,1,Placed,Tech,Software Engineer,11.87
M,B.Com,Accounting & Finance,71.58,74.85,8.04,No,7.3,8.9,7.4,8.5,0,1,0,Not Placed,Not Placed,None,
F,BBA,General Management,70.33,66.98,8.79,No,2.5,7.8,7.4,5.7,2,0,1,Not Placed,Not Placed,None,
M,B.Com,Accounting & Finance,69.18,95.3,7.81,Yes,3.7,8.5,6.3,7.0,1,1,2,Placed,Consulting,Operations Analyst,10.63
M,B.Tech,Electronics,79.91,67.72,8.46,No,5.5,5.7,6.9,7.4,3,0,2,Placed,Core Engineering,Design Engineer,6.43
M,BCA,Computer Applications,77.47,67.69,8.35,No,6.3,7.1,4.3,8.1,2,0,0,Not Placed,Not Placed,None,
F,B.Tech,Civil,72.98,62.03,8.11,No,3.4,6.8,6.7,8.4,1,1,0,Placed,Core Engineering,Design Engineer,6.18
M,B.Tech,Mechanical,74.5,71.24,6.71,Yes,1.0,8.2,6.6,9.9,2,0,2,Placed,Core Engineering,Graduate Engineer Trainee,7.89
M,MBA,Human Resources,68.96,76.15,7.71,No,2.4,8.2,5.1,7.8,0,2,1,Placed,Consulting,Business Analyst,7.38
F,B.Tech,Electronics,87.75,82.04,6.48,No,5.5,6.8,5.7,6.8,2,1,2,Placed,Core Engineering,Graduate Engineer Trainee,5.42
M,BCA,Computer Applications,55.21,55.11,7.52,Yes,7.3,4.2,8.8,6.2,4,2,0,Placed,Tech,Software Engineer,13.53
F,B.Sc,Computer Science,71.4,67.54,7.9,No,4.6,9.2,6.3,3.8,0,1,0,Placed,Consulting,Strategy Consultant,9.48
M,B.Com,Accounting & Finance,70.65,74.47,9.51,No,4.1,7.3,7.2,6.9,2,0,2,Not Placed,Not Placed,None,
F,B.Sc,Computer Science,78.13,75.87,5.93,No,2.4,5.6,3.9,6.0,1,1,1,Not Placed,Not Placed,None,
F,B.Tech,Mechanical,61.56,70.07,8.08,No,2.2,7.1,5.7,9.9,0,0,1,Placed,Core Engineering,Design Engineer,6.94
M,B.Tech,Mechanical,52.56,75.42,9.28,No,1.4,4.2,4.2,9.7,0,1,0,Not Placed,Not Placed,None,
M,BCA,Computer Applications,71.57,61.91,8.41,No,8.7,8.1,4.7,6.4,2,2,1,Not Placed,Not Placed,None,
F,B.Tech,Information Technology,72.81,85.58,8.5,Yes,7.5,4.3,5.3,5.0,4,1,1,Not Placed,Not Placed,None,
M,MCA,Computer Applications,84.9,79.93,8.21,No,10.0,6.2,7.0,6.5,2,0,0,Placed,Tech,Software Engineer,16.21
F,B.Tech,Computer Science,57.3,56.55,9.06,Yes,8.1,6.9,6.9,8.5,1,1,3,Placed,Tech,Software Engineer,15.24
M,B.Tech,Civil,81.55,59.25,6.2,No,2.9,8.1,5.5,6.2,2,1,2,Placed,Consulting,Operations Analyst,7.54
M,MCA,Computer Applications,93.67,59.53,5.84,No,8.3,6.7,3.2,4.2,3,2,1,Placed,Tech,Cloud Associate,13.41
M,B.Tech,Computer Science,66.22,76.78,7.49,No,8.1,7.5,8.7,4.6,3,0,2,Placed,Tech,Software Engineer,12.62
F,B.Sc,Mathematics,57.09,57.15,4.91,Yes,1.0,6.5,6.1,7.4,1,1,0,Placed,Finance,Financial Analyst,6.99
M,B.Com,General Commerce,65.93,66.69,8.98,No,3.6,6.5,4.8,5.9,1,0,0,Not Placed,Not Placed,None,
F,BBA,Marketing,70.14,74.55,8.96,No,2.8,6.6,6.9,4.6,2,1,2,Not Placed,Not Placed,None,
F,B.Tech,Electronics,75.64,69.34,6.98,No,10.0,6.2,6.8,5.6,1,1,1,Not Placed,Not Placed,None,
M,B.Tech,Information Technology,64.09,72.59,7.06,No,8.4,4.0,6.0,7.3,3,1,0,Placed,Tech,Software Engineer,13.61
M,B.Tech,Computer Science,85.55,59.34,7.41,No,8.0,5.3,6.7,6.0,2,0,3,Placed,Tech,Software Engineer,12.46
F,B.Sc,Computer Science,58.85,75.95,7.56,No,5.3,6.9,4.8,6.2,1,0,0,Not Placed,Not Placed,None,
M,B.Com,Accounting & Finance,52.61,63.87,7.65,No,4.0,6.1,7.3,5.3,1,0,2,Placed,Consulting,Strategy Consultant,7.42
F,B.Tech,Computer Science,81.07,66.75,8.17,No,7.2,6.3,5.0,7.9,4,0,2,Placed,Tech,Software Engineer,11.97
M,MBA,Business Analytics,47.25,72.38,7.29,No,2.4,6.0,5.9,7.4,1,0,2,Placed,Finance,Risk Associate,7.7
M,B.Tech,Mechanical,67.96,71.03,8.63,No,1.0,5.2,7.5,6.8,0,1,0,Placed,Core Engineering,Design Engineer,4.41
F,BCA,Computer Applications,99.0,70.24,8.04,No,7.0,5.8,8.3,4.7,3,2,0,Placed,Tech,Data Analyst,13.51
M,B.Com,Accounting & Finance,69.88,62.49,6.77,No,3.2,6.0,7.7,6.7,1,1,1,Not Placed,Not Placed,None,
M,BBA,General Management,58.79,67.0,9.1,No,5.0,6.5,8.1,5.5,2,0,1,Placed,Consulting,Business Analyst,8.59
M,B.Com,Accounting & Finance,69.43,70.02,5.87,Yes,1.0,7.1,8.4,8.3,2,0,1,Not Placed,Not Placed,None,
M,BBA,Finance,69.49,56.25,7.39,No,1.2,6.2,6.7,9.8,0,2,0,Not Placed,Not Placed,None,
M,B.Tech,Computer Science,71.61,65.37,8.66,No,6.1,5.0,8.6,7.2,3,0,0,Placed,Tech,Web Developer,10.75
F,BBA,Marketing,76.62,73.88,6.63,Yes,2.2,4.4,8.6,6.3,0,0,1,Placed,Consulting,Operations Analyst,9.36
M,B.Tech,Electronics,59.61,57.23,7.87,No,2.9,10.0,5.5,6.3,3,0,2,Placed,Consulting,Operations Analyst,9.49
M,BBA,Finance,86.88,81.57,8.15,No,1.0,4.8,8.9,9.9,0,0,0,Placed,Finance,Financial Analyst,8.83
F,BCA,Computer Applications,72.45,82.7,6.47,No,8.4,5.7,6.0,6.2,2,0,1,Placed,Tech,Software Engineer,12.1
M,BBA,Human Resources,77.27,57.55,7.41,No,2.0,7.3,8.8,7.8,1,0,0,Placed,Consulting,Business Analyst,10.03
M,BCA,Computer Applications,63.72,83.58,7.31,No,7.3,7.0,5.7,5.5,3,2,2,Placed,Tech,Software Engineer,13.26
F,B.Sc,Mathematics,82.86,68.56,6.84,No,1.4,7.3,9.5,3.1,1,2,0,Placed,Consulting,Business Analyst,10.75
F,BCA,Computer Applications,67.43,74.19,10.0,No,7.6,5.8,7.7,8.0,2,0,1,Placed,Tech,Software Engineer,14.39
M,B.Com,General Commerce,72.78,65.03,6.58,Yes,2.1,6.9,9.2,6.3,2,1,1,Placed,Consulting,Business Analyst,11.85
F,B.Tech,Mechanical,60.67,79.23,8.71,Yes,2.7,6.6,5.8,9.2,1,0,0,Placed,Core Engineering,Graduate Engineer Trainee,6.85
M,B.Tech,Information Technology,60.03,74.06,7.03,No,6.2,6.0,7.1,3.2,2,0,1,Placed,Tech,Software Engineer,9.29
F,B.Tech,Computer Science,76.88,61.86,6.2,No,7.1,6.9,5.0,7.6,2,1,1,Placed,Tech,Software Engineer,10.82
M,B.Tech,Computer Science,65.56,58.35,7.62,No,8.8,8.1,7.8,3.5,4,0,1,Placed,Tech,QA Engineer,13.87
M,BBA,General Management,61.46,55.4,8.28,No,4.8,6.5,7.8,6.6,0,0,1,Not Placed,Not Placed,None,
M,B.Tech,Computer Science,63.57,71.88,8.6,No,8.5,6.5,10.0,7.2,1,0,0,Not Placed,Not Placed,None,
M,MBA,Marketing,76.99,75.72,9.37,No,1.4,8.1,7.2,6.2,2,0,1,Placed,Consulting,Strategy Consultant,9.33
M,B.Tech,Computer Science,63.71,76.51,10.0,No,7.5,7.9,7.6,7.7,1,0,3,Not Placed,Not Placed,None,
F,B.Tech,Information Technology,68.82,68.82,7.8,No,8.5,8.9,5.8,5.7,1,0,2,Placed,Tech,Data Analyst,13.59
M,B.Com,Accounting & Finance,70.15,58.43,6.7,No,2.9,3.9,8.3,8.7,0,0,0,Placed,Finance,Risk Associate,8.21
M,B.Com,General Commerce,50.83,63.18,8.04,No,2.1,7.9,5.9,9.5,0,0,0,Placed,Finance,Investment Banking Analyst,5.32
M,BCA,Computer Applications,55.29,81.52,7.18,No,7.4,7.4,6.7,9.1,3,1,1,Not Placed,Not Placed,None,
M,B.Sc,Computer Science,73.36,65.15,8.61,No,4.2,5.2,6.8,9.2,1,0,0,Placed,Consulting,Operations Analyst,5.93
F,B.Com,General Commerce,62.63,71.43,5.94,No,4.3,6.9,6.0,9.4,0,0,1,Placed,Finance,Financial Analyst,6.57
M,B.Tech,Mechanical,80.57,59.24,10.0,No,2.8,8.1,6.6,7.3,1,2,0,Placed,Core Engineering,Graduate Engineer Trainee,5.37
M,MBA,Finance,79.67,73.37,8.53,No,3.0,5.3,5.7,7.5,0,1,0,Placed,Finance,Financial Analyst,5.04
M,MBA,Finance,77.19,65.42,5.48,No,3.1,7.2,6.8,6.2,0,0,1,Not Placed,Not Placed,None,
F,B.Com,Accounting & Finance,88.2,80.47,6.65,No,6.0,7.8,6.5,6.5,1,1,1,Placed,Consulting,Operations Analyst,8.3
M,B.Tech,Civil,69.17,77.74,8.48,No,1.4,4.9,6.8,6.9,0,0,2,Not Placed,Not Placed,None,
M,B.Com,Accounting & Finance,76.49,65.04,8.91,No,1.0,6.3,6.7,7.9,1,1,0,Placed,Consulting,Business Analyst,6.98
M,B.Tech,Civil,64.16,68.73,5.97,No,2.9,7.0,4.3,9.6,1,0,1,Not Placed,Not Placed,None,
M,B.Tech,Electronics,94.52,64.49,8.36,No,3.9,5.3,7.1,6.2,2,0,0,Not Placed,Not Placed,None,
M,B.Tech,Information Technology,89.84,55.81,5.16,No,8.6,5.2,7.3,5.7,3,2,0,Placed,Tech,Data Analyst,13.88
F,BCA,Computer Applications,70.12,61.43,7.39,No,7.8,6.3,5.9,6.5,2,1,0,Placed,Tech,Data Analyst,13.16
F,BBA,Finance,73.87,71.98,8.83,No,2.9,7.7,6.9,6.7,0,0,2,Not Placed,Not Placed,None,
F,B.Com,Accounting & Finance,83.59,73.25,6.84,No,2.5,7.5,7.0,6.8,0,1,1,Placed,Finance,Tax Consultant,7.83
M,B.Com,Accounting & Finance,68.53,71.49,5.69,Yes,1.7,5.2,7.0,8.3,2,0,0,Placed,Finance,Risk Associate,8.14
M,MCA,Computer Applications,63.43,66.98,7.68,No,8.5,7.5,7.6,7.6,2,0,2,Placed,Tech,Data Analyst,13.43
M,B.Tech,Civil,78.74,79.33,6.77,Yes,2.4,5.2,7.3,6.3,0,1,0,Placed,Core Engineering,Graduate Engineer Trainee,4.0
F,MCA,Computer Applications,70.78,70.64,8.26,No,8.1,4.1,6.8,6.5,3,2,1,Not Placed,Not Placed,None,
M,MBA,Operations,71.83,77.03,6.44,Yes,1.0,5.9,7.3,7.4,2,0,0,Placed,Finance,Risk Associate,8.49
F,B.Tech,Computer Science,61.66,52.26,6.57,Yes,8.9,8.2,7.8,7.0,3,2,1,Placed,Tech,Software Engineer,14.96
M,BBA,Finance,52.82,45.0,5.07,Yes,3.0,7.5,9.6,5.0,0,0,1,Not Placed,Not Placed,None,
M,B.Sc,Computer Science,72.36,72.84,7.7,No,4.4,6.5,6.9,4.9,2,0,1,Placed,Consulting,Business Analyst,7.45
M,MCA,Computer Applications,79.05,55.75,7.31,No,8.4,5.9,6.2,7.4,2,0,1,Not Placed,Not Placed,None,
M,B.Com,General Commerce,67.74,67.88,6.07,Yes,4.4,5.9,4.9,6.3,1,0,1,Placed,Finance,Risk Associate,6.73
F,BCA,Computer Applications,84.36,66.98,7.73,No,8.7,6.7,7.6,8.0,1,1,2,Placed,Tech,Software Engineer,14.76
F,BBA,Marketing,62.96,85.87,8.73,Yes,4.3,4.9,5.7,6.1,0,1,0,Placed,Consulting,Business Analyst,6.45
M,MBA,Finance,59.45,74.0,7.24,No,3.5,6.0,8.5,9.5,2,0,0,Placed,Finance,Financial Analyst,8.37
M,MCA,Computer Applications,69.33,71.66,7.82,No,10.0,6.2,5.7,9.1,1,1,1,Not Placed,Not Placed,None,
F,B.Tech,Information Technology,69.17,78.37,7.83,No,8.8,4.5,5.3,6.4,1,1,2,Placed,Tech,Software Engineer,15.01
F,B.Sc,Biotech,77.7,73.68,6.05,No,1.9,5.2,8.0,7.2,2,1,0,Placed,Consulting,Business Analyst,7.29
M,MBA,Operations,62.25,65.42,9.97,No,1.4,7.1,6.7,7.6,0,1,2,Placed,Consulting,Strategy Consultant,7.85
M,B.Tech,Information Technology,83.68,80.71,6.93,No,5.8,6.5,8.6,5.0,3,0,0,Not Placed,Not Placed,None,
M,B.Sc,Computer Science,89.67,58.9,8.29,No,6.5,6.0,5.5,9.3,1,1,1,Placed,Tech,Software Engineer,12.04
M,B.Sc,Computer Science,69.61,73.23,8.42,No,5.1,5.1,7.8,7.2,2,0,1,Placed,Consulting,Strategy Consultant,6.94
M,B.Com,Accounting & Finance,82.5,54.52,7.33,No,4.2,8.9,7.6,6.3,1,0,0,Placed,Consulting,Operations Analyst,10.5
M,B.Tech,Computer Science,59.44,72.04,8.23,No,7.3,5.2,7.0,4.0,2,0,0,Not Placed,Not Placed,None,
M,B.Com,Accounting & Finance,80.75,71.93,7.79,No,3.4,6.9,7.2,7.9,1,0,2,Not Placed,Not Placed,None,
M,MBA,Human Resources,80.47,86.76,5.8,No,3.4,5.8,7.5,6.6,1,0,0,Placed,Finance,Risk Associate,7.25
M,B.Tech,Electronics,78.63,54.35,7.1,No,5.0,6.6,4.4,8.9,2,1,1,Placed,Core Engineering,Design Engineer,7.15
F,B.Tech,Computer Science,69.84,63.99,6.76,No,7.6,7.2,7.4,6.0,4,0,1,Placed,Tech,Cloud Associate,11.15
F,MBA,Finance,45.0,78.23,6.95,Yes,4.9,4.4,8.1,6.2,2,2,2,Not Placed,Not Placed,None,
M,B.Tech,Computer Science,63.58,73.35,5.94,No,7.3,6.5,6.1,5.5,3,0,0,Placed,Tech,Data Analyst,9.99
F,BBA,Marketing,63.74,71.8,8.85,No,4.0,8.3,5.2,6.4,1,0,1,Placed,Consulting,Operations Analyst,7.46
F,BCA,Computer Applications,60.22,60.44,9.42,No,7.8,9.1,7.5,4.8,3,2,0,Placed,Consulting,Business Analyst,10.68
